icon,name,damage
Format_C.png,Format:C,39
Gradient.png,https://terraria.fandom.com/wiki/Gradient,49
Chik.png,https://terraria.fandom.com/wiki/Chik,39
Hel-Fire.png,https://terraria.fandom.com/wiki/Hel-Fire,41
Amarok.png,https://terraria.fandom.com/wiki/Amarok,43
Code_2.png,https://terraria.fandom.com/wiki/Code_2,54
Yelets.png,https://terraria.fandom.com/wiki/Yelets,60
Reds_Throw.png,https://terraria.fandom.com/wiki/Red%27s_Throw,70
Valkyrie_Yoyo.png,https://terraria.fandom.com/wiki/Valkyrie_Yoyo,70
Kraken.png,Kraken,95
The_Eye_of_Cthulhu.png,The Eye of Cthulhu,115
Terrarian.png,Terrarian,190
