icon,name,damage
Arkhalis.png,https://terraria.fandom.com/wiki/Arkhalis,25
Jousting_Lance.png,https://terraria.fandom.com/wiki/Jousting_Lance,60
Shadowflame_Knife.png,https://terraria.fandom.com/wiki/Shadowflame_Knife,38
Hallowed_Jousting_Lance.png,https://terraria.fandom.com/wiki/Hallowed_Jousting_Lance,90
Sleepy_Octopod.png,https://terraria.fandom.com/wiki/Sleepy_Octopod,50
Scourge_of_the_Corruptor.png,https://terraria.fandom.com/wiki/Scourge_of_the_Corruptor,70
Shadow_Jousting_Lance.png,https://terraria.fandom.com/wiki/Shadow_Jousting_Lance,130
Vampire_Knives.png,https://terraria.fandom.com/wiki/Vampire_Knives,29
Sky_Dragons_Fury.png,https://terraria.fandom.com/wiki/Sky_Dragon%27s_Fury,140
Daybreak.png,https://terraria.fandom.com/wiki/Daybreak,150
Solar_Eruption.png,https://terraria.fandom.com/wiki/Solar_Eruption,105
Zenith.png,https://terraria.fandom.com/wiki/Zenith,190
,Starlight,80
